,unique_key,created_date,closed_date,agency_acronym,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,city,status,due_date,resolution_date,community_board,borough,latitude,longitude,dirty_long,dirty_lat
1530000,28150096,2014-05-30 10:08:01,2014-06-02 14:09:25,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10032.0,3910 BROADWAY,BROADWAY,NEW YORK,Closed,06/13/2014 10:08:01 AM,2014-06-02 14:09:25,12 MANHATTAN,MANHATTAN,40.8381354354,-73.9418878379,-73.94,40.84
1530001,28150097,2014-05-30 12:56:42,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10003.0,125 EAST 17 STREET,EAST 17 STREET,NEW YORK,Open,07/14/2014 12:56:42 PM,2014-06-03 16:39:30,06 MANHATTAN,MANHATTAN,40.7357845705,-73.9871433105,-73.99,40.74
1530002,28150327,2014-05-30 00:00:00,2014-06-17 11:56:34,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10032.0,506 WEST 171 STREET,WEST 171 STREET,NEW YORK,Closed,06/29/2014 10:31:39 AM,2014-06-17 11:56:34,12 MANHATTAN,MANHATTAN,40.841856855900005,-73.9359393215,-73.94,40.84
1530003,28150328,2014-05-30 19:48:27,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contains Foreign Object,Restaurant/Bar/Deli/Bakery,10468.0,135 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,BRONX,Pending,07/06/2014 07:48:27 PM,2014-06-02 10:32:47,08 BRONX,BRONX,40.869047575500005,-73.90298204449999,-73.9,40.87
1530004,28150338,2014-05-30 16:10:14,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Spoiled,Other (Explain Below),11235.0,281 BRIGHTON BEACH AVENUE,BRIGHTON BEACH AVENUE,BROOKLYN,Pending,07/06/2014 04:10:14 PM,2014-06-02 11:21:51,13 BROOKLYN,BROOKLYN,40.576928454699996,-73.9646642969,-73.96,40.58
1530005,28150354,2014-05-30 00:00:00,2014-06-05 15:55:29,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11225.0,322 HAWTHORNE STREET,HAWTHORNE STREET,BROOKLYN,Closed,06/29/2014 11:11:15 PM,2014-06-05 15:55:29,09 BROOKLYN,BROOKLYN,40.6578859247,-73.9494586476,-73.95,40.66
1530006,28150355,2014-05-30 11:34:58,2014-05-30 12:59:17,NYPD,New York City Police Department,Drinking,After Hours - Licensed Est,Club/Bar/Restaurant,10016.0,79 MADISON AVENUE,MADISON AVENUE,NEW YORK,Closed,05/30/2014 07:34:58 PM,2014-05-30 12:59:17,05 MANHATTAN,MANHATTAN,40.7440954981,-73.98561877659999,-73.99,40.74
1530007,28150379,2014-05-29 16:04:00,2014-05-31 12:00:00,DSNY,Bronx 08,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10463.0,3631 CORLEAR AVENUE,CORLEAR AVENUE,BRONX,Closed,,2014-05-31 12:00:00,08 BRONX,BRONX,40.884952723699996,-73.90257186939999,-73.9,40.88
1530008,28150388,2014-05-30 10:54:00,2014-05-31 12:00:00,DSNY,Manhattan 04,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10036.0,424 WEST 44 STREET,WEST 44 STREET,NEW YORK,Closed,,2014-05-31 12:00:00,04 MANHATTAN,MANHATTAN,40.7601062669,-73.99260371140001,-73.99,40.76
1530009,28150395,2014-05-30 10:33:00,2014-06-03 12:00:00,DSNY,BCC - Staten Island,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10303.0,309 VAN NAME AVENUE,VAN NAME AVENUE,STATEN ISLAND,Closed,,2014-06-03 12:00:00,01 STATEN ISLAND,STATEN ISLAND,40.6281994271,-74.1541433315,-74.15,40.63
